current_label,class,file,route,type,model,current_group,current_sort,icon,permission,access,common_usage,parent_domain,related_resources,frontend_location,frequency,visibility
"Bài viết","PostResource","app/Filament/Resources/Posts/PostResource.php","filament.admin.resources.posts.index","Resource","Post","Nội dung","1","rectangle-stack","post.*","read/write","Xuất bản bài viết","Nội dung","PostCategory; Author; Tag; FAQ; Product","blog index/detail; homepage; landing","DAILY","permission"
"Danh mục bài viết","PostCategoryResource","app/Filament/Resources/PostCategories/PostCategoryResource.php","filament.admin.resources.post-categories.index","Resource","PostCategory","Nội dung","2","rectangle-stack","post_category.*","read/write","Taxonomy hỗ trợ bài viết","Nội dung","Post; FAQ; AiContentJob","blog category","OCCASIONAL","permission"
"Tác giả","AuthorResource","app/Filament/Resources/Authors/AuthorResource.php","filament.admin.resources.authors.index","Resource","Author","Nội dung","3","rectangle-stack","author.*","read/write","Danh tính tác giả bài viết","Nội dung","Post","blog byline/schema","OCCASIONAL","permission"
"Thẻ nội dung","TagResource","app/Filament/Resources/Tags/TagResource.php","filament.admin.resources.tags.index","Resource","Tag","Nội dung","4","rectangle-stack","tag.*","read/write","Taxonomy dùng chung","Nội dung","Post; Product; CaseStudy","content tagging/internal links","OCCASIONAL","permission"
"Câu hỏi thường gặp","FaqResource","app/Filament/Resources/Faqs/FaqResource.php","filament.admin.resources.faqs.index","Resource","Faq","Nội dung","5","rectangle-stack","faq.*","read/write","Nội dung FAQ dùng chung","Nội dung","Product; Post; ProductCategory; PostCategory; CaseStudy","homepage; FAQ page; product/blog/category/landing","WEEKLY","permission"
"Dự án thực tế","CaseStudyResource","app/Filament/Resources/CaseStudies/CaseStudyResource.php","filament.admin.resources.case-studies.index","Resource","CaseStudy","Nội dung","6","rectangle-stack","case_study.*","read/write","Nội dung chứng minh dự án","Nội dung","Product; Tag; FAQ; Testimonial","case-study pages and landing","WEEKLY","permission"
"Cảm nhận khách hàng","TestimonialResource","app/Filament/Resources/Testimonials/TestimonialResource.php","filament.admin.resources.testimonials.index","Resource","Testimonial","Nội dung","7","rectangle-stack","testimonial.*","read/write","Nội dung social proof","Nội dung","Product; CaseStudy","product; case study; landing","WEEKLY","permission"
"Khối trang đích","LandingSectionResource","app/Filament/Resources/LandingSections/LandingSectionResource.php","filament.admin.resources.landing-sections.index","Resource","LandingSection","Nội dung","8","rectangle-stack","landing_section.*","read/write","Sắp xếp section của landing page","Trang & Giao diện","Product; Category; Post; FAQ; PolicyPage; CaseStudy","LandingController + landing/sections/*","OCCASIONAL","permission"
"Trang chính sách","PolicyPageResource","app/Filament/Resources/PolicyPages/PolicyPageResource.php","filament.admin.resources.policy-pages.index","Resource","PolicyPage","Nội dung","9","rectangle-stack","policy_page.*","read/write","Trang pháp lý/chính sách độc lập","Trang & Giao diện","LandingSection policies","policy index/detail and footer links","OCCASIONAL","permission"
"Banner trang chủ","HeroSlideResource","app/Filament/Resources/HeroSlides/HeroSlideResource.php","filament.admin.resources.hero-slides.index","Resource","HeroSlide","Nội dung","10","photo","resource policy","read/write","Cấu hình hero slider homepage","Trang & Giao diện","Home page","components/home/hero-slider","OCCASIONAL","policy"
"Lợi ích trang chủ","HomeBenefitItemResource","app/Filament/Resources/HomeBenefitItems/HomeBenefitItemResource.php","filament.admin.resources.home-benefit-items.index","Resource","HomeBenefitItem","Nội dung","11","star","resource policy","read/write","Cấu hình benefit bar homepage","Trang & Giao diện","Home page","components/home/benefit-bar","OCCASIONAL","policy"
"Cam kết báo giá","QuoteCommitmentBlockResource","app/Filament/Resources/QuoteCommitments/QuoteCommitmentBlockResource.php","filament.admin.resources.quote-commitment-blocks.index","Resource","QuoteCommitmentBlock","Nội dung","12","clipboard-document-check","resource policy","read/write","Cấu hình cam kết trong quote flow","Bán hàng","QuoteCommitmentItem; QuoteRequest","components/quote/commitment-block on quote page","OCCASIONAL","policy"
"Tổng quan SEO","SeoAudit","app/Filament/Pages/SeoAudit.php","filament.admin.pages.seo-audit","Page","","SEO & Marketing","1","magnifying-glass","seo_audit.view","read/action","SEO diagnostics","SEO & Marketing","Product; Post; settings","admin only","WEEKLY","permission"
"Tích hợp Marketing","MarketingIntegrations","app/Filament/Pages/MarketingIntegrations.php","filament.admin.pages.marketing-integrations","Page","","SEO & Marketing","2","globe-alt","seo_audit.view","read/action","Integration readiness","SEO & Marketing","Merchant; GSC; GA4; Ads; Bing","admin only","OCCASIONAL","permission"
"Liên kết nội bộ","InternalLinkSuggestionResource","app/Filament/Resources/InternalLinks/InternalLinkSuggestionResource.php","filament.admin.resources.internal-link-suggestions.index","Resource","InternalLinkSuggestion","SEO & Marketing","3","link","internal_link.*","read/write","Duyệt liên kết nội bộ","SEO & Marketing","Post; Product; CaseStudy","public internal-link component","WEEKLY","permission"
"Chuyển hướng 301/302","RedirectResource","app/Filament/Resources/Redirects/RedirectResource.php","filament.admin.resources.redirects.index","Resource","Redirect","SEO & Marketing","4","arrows-right-left","redirect.*","read/write","Quản lý redirect","SEO & Marketing","public routes","redirect middleware","OCCASIONAL","permission"
"Chiến dịch website","SiteCampaignResource","app/Filament/Resources/SiteCampaigns/SiteCampaignResource.php","filament.admin.resources.site-campaigns.index","Resource","SiteCampaign","SEO & Marketing","5","megaphone","site_campaign.*","read/write","On-site campaigns/popups","SEO & Marketing","SiteCampaignEvent","public campaign renderer","OCCASIONAL","permission"
"Công việc nội dung AI","AiProductJobResource","app/Filament/Resources/AiProductJobs/AiProductJobResource.php","filament.admin.resources.ai-product-jobs.index","Resource","AiProductJob","AI Content","1","cpu-chip","bulk_ai_view/product.ai_generate","read/write guarded","Product content workflow","Nội dung AI","Product; Draft; JobItem","admin only","OCCASIONAL","permission"
"Công việc AI bài viết","AiContentJobResource","app/Filament/Resources/AiContentJobs/AiContentJobResource.php","filament.admin.resources.ai-content-jobs.index","Resource","AiContentJob","AI Content","2","rectangle-stack","ai_content_job.*","read/write guarded","Blog content workflow","Nội dung AI","PostCategory; User","admin only","OCCASIONAL","permission"
"Nhà cung cấp AI","AiProviderResource","app/Filament/Resources/AiProviders/AiProviderResource.php","filament.admin.resources.ai-providers.index","Resource","AiProvider","AI Content","3","cpu-chip","ai_provider.*","read/write","Provider configuration","Nội dung AI","AiGenerationSession; AiRequestLog","admin only","ADMIN_ONLY","permission"
"Nhập / Xuất dữ liệu","DataTransferPage","app/Filament/Pages/DataTransferPage.php","filament.admin.pages.data-transfer-page","Page","","Hệ thống","1","arrows-right-left","module import/export","read/write","Controlled data transfer","Hệ thống","Import/Export jobs","admin only","OCCASIONAL","permission"
"Media & CDN","R2SyncManager","app/Filament/Pages/R2SyncManager.php","filament.admin.pages.r2-sync-manager","Page","","Hệ thống","2","cloud-arrow-up","r2.*","read/write guarded","Media/CDN operations","Hệ thống","MediaFile; R2 jobs","public media URLs","OCCASIONAL","permission"
"Mẫu email","MailTemplateResource","app/Filament/Resources/MailTemplates/MailTemplateResource.php","filament.admin.resources.mail-templates.index","Resource","MailTemplate","Hệ thống","3","envelope-open","mail_template.*","read/write","Email content configuration","Hệ thống","MailDispatchService","transactional email","OCCASIONAL","permission"
"Nhật ký email","MailLogResource","app/Filament/Resources/MailLogs/MailLogResource.php","filament.admin.resources.mail-logs.index","Resource","MailLog","Hệ thống","4","paper-airplane","mail_log.*","read/delete","Email delivery diagnostics","Hệ thống","MailTemplate","admin only","DIAGNOSTIC","permission+badge"
"Người dùng","UserResource","app/Filament/Resources/Users/UserResource.php","filament.admin.resources.users.index","Resource","User","Hệ thống","5","users","user governance","read/write","Admin identity management","Hệ thống","Role; Permission","admin authentication","ADMIN_ONLY","policy"
"Vai trò & quyền","RoleResource","app/Filament/Resources/Users/RoleResource.php","filament.admin.resources.users.roles.index","Resource","Role","Hệ thống","6","shield-check","role governance","read/write","RBAC management","Hệ thống","User; Permission","admin authorization","ADMIN_ONLY","policy"
"Cài đặt website","ManageSiteSettings","app/Filament/Pages/ManageSiteSettings.php","filament.admin.pages.manage-site-settings","Page","SiteSetting","Hệ thống","7","cog-6-tooth","settings.view/edit","read/write","Website/runtime settings","Hệ thống","SEO; display; CTA; mail; R2","all public surfaces","ADMIN_ONLY","permission"
"Trạng thái AI","AIQueueHealth","app/Filament/Pages/AIQueueHealth.php","filament.admin.pages.a-i-queue-health","Page","","Vận hành","1","signal","AI view/generate permissions","read/action guarded","Queue/worker/scheduler diagnostics","Vận hành","AI jobs; heartbeat","admin only","DIAGNOSTIC","permission"
"Security probe","AIRuntimeSecurityProbe","app/Filament/Pages/AIRuntimeSecurityProbe.php","filament.admin.pages.ai-runtime-security-probe","Page","","hidden","","shield","environment+authorization","read/test","Security fixture probe","Security","AI runtime","none","DIAGNOSTIC","hidden"
"Import preview","ImportPreviewPage","app/Filament/Pages/ImportPreviewPage.php","filament.admin.pages.import-preview-page","Page","DataImportJob","hidden","","","owner+module authorization","read/action","Import preview and confirmation","Hệ thống","DataTransferPage","admin only","OCCASIONAL","hidden deep link"
"Import result","ImportResultPage","app/Filament/Pages/ImportResultPage.php","filament.admin.pages.import-result-page","Page","DataImportJob","hidden","","","owner+module authorization","read","Import result","Hệ thống","DataTransferPage","admin only","OCCASIONAL","hidden deep link"
"Hồ sơ của tôi","Profile","app/Filament/Pages/Profile.php","filament.admin.pages.profile","Page","User","user menu","","user-circle","authenticated user","read/write","Self-service profile","Hệ thống","User","admin only","OCCASIONAL","user menu"
"Cấu hình hệ thống cũ","ManageSettings","app/Filament/Pages/ManageSettings.php","filament.admin.pages.manage-settings","Page","SiteSetting","hidden","","","settings guard","read/write","Legacy settings compatibility","Hệ thống","ManageSiteSettings","admin only","ADMIN_ONLY","hidden legacy"
"Site setting records","SiteSettingResource","app/Filament/Resources/SiteSettings/SiteSettingResource.php","filament.admin.resources.site-settings.index","Resource","SiteSetting","hidden","","rectangle-stack","settings.view/edit","read/write","Backing settings records","Hệ thống","ManageSiteSettings","all public surfaces","ADMIN_ONLY","hidden"
