Current Group,Current Item,Actual Model/Resource,Actual Purpose,Primary Domain,Primary/Secondary,Frequency,Frontend Consumer,Parent Capability,Proposed Group,Proposed Label,Proposed Sort,Keep Sidebar?,Reason
"Nội dung","Bài viết","PostResource","Independent publishing lifecycle","Nội dung","PRIMARY","DAILY","blog/home/landing","Blog publishing","Nội dung","Bài viết","1","YES","Primary content entity"
"Nội dung","Danh mục bài viết","PostCategoryResource","Post taxonomy","Nội dung","SECONDARY","OCCASIONAL","blog category","Bài viết","Nội dung","Danh mục bài viết","secondary action","NO","Access from Cấu hình bài viết; route unchanged"
"Nội dung","Tác giả","AuthorResource","Post byline identity","Nội dung","SECONDARY","OCCASIONAL","blog/schema","Bài viết","Nội dung","Tác giả","secondary action","NO","Access from Cấu hình bài viết; route unchanged"
"Nội dung","Thẻ nội dung","TagResource","Shared taxonomy","Nội dung","SECONDARY","OCCASIONAL","post/product/case study","Bài viết","Nội dung","Thẻ nội dung","secondary action","NO","Access from Cấu hình bài viết; route unchanged"
"Nội dung","Dự án thực tế","CaseStudyResource","Independent published trust content","Nội dung","PRIMARY","WEEKLY","case-study pages/landing","Trust content","Nội dung","Dự án thực tế","2","YES","Independent routes and lifecycle"
"Nội dung","Cảm nhận khách hàng","TestimonialResource","Shared social proof","Nội dung","PRIMARY","WEEKLY","product/case study/landing","Trust content","Nội dung","Cảm nhận khách hàng","3","YES","Independent reusable content"
"Nội dung","Câu hỏi thường gặp","FaqResource","Shared polymorphic FAQ content","Nội dung","PRIMARY","WEEKLY","global/product/blog/category/landing","Shared content","Nội dung","Câu hỏi thường gặp","4","YES","Not exclusively Product or Blog"
"Nội dung","Khối trang đích","LandingSectionResource","Page composition and ordering","Trang & Giao diện","CONFIGURATION","OCCASIONAL","LandingController/landing sections","Landing page","Trang & Giao diện","Bố cục trang đích","1","YES","Controls arrangement rather than content lifecycle"
"Nội dung","Banner trang chủ","HeroSlideResource","Homepage hero content/config","Trang & Giao diện","CONFIGURATION","OCCASIONAL","home hero-slider component","Homepage","Trang & Giao diện","Banner trang chủ","2","YES","Homepage-only consumer"
"Nội dung","Lợi ích trang chủ","HomeBenefitItemResource","Homepage benefit-bar config","Trang & Giao diện","CONFIGURATION","OCCASIONAL","home benefit-bar component","Homepage","Trang & Giao diện","Lợi ích trang chủ","3","YES","Homepage-only consumer"
"Nội dung","Trang chính sách","PolicyPageResource","Independent site/legal pages","Trang & Giao diện","PRIMARY","OCCASIONAL","policy routes/footer/landing reference","Site pages","Trang & Giao diện","Trang chính sách","4","YES","Page lifecycle separate from Blog CMS"
"SEO & Marketing","Tổng quan SEO","SeoAudit","SEO diagnostics","SEO & Marketing","OPERATIONAL","WEEKLY","admin","SEO operations","SEO & Marketing","Tổng quan SEO","1","YES","Action-oriented diagnostic"
"SEO & Marketing","Tích hợp Marketing","MarketingIntegrations","Integration readiness","SEO & Marketing","CONFIGURATION","OCCASIONAL","admin/integrations","Marketing operations","SEO & Marketing","Tích hợp Marketing","2","YES","Cross-channel readiness"
"SEO & Marketing","Liên kết nội bộ","InternalLinkSuggestionResource","Internal linking workflow","SEO & Marketing","PRIMARY","WEEKLY","public content","SEO operations","SEO & Marketing","Liên kết nội bộ","3","YES","Operator review workflow"
"SEO & Marketing","Chuyển hướng 301/302","RedirectResource","Redirect management","SEO & Marketing","CONFIGURATION","OCCASIONAL","routing","SEO operations","SEO & Marketing","Chuyển hướng 301/302","4","YES","Technical SEO configuration"
"SEO & Marketing","Chiến dịch website","SiteCampaignResource","On-site campaign publishing","SEO & Marketing","PRIMARY","OCCASIONAL","public campaign renderer","Marketing operations","SEO & Marketing","Chiến dịch website","5","YES","Marketing lifecycle"
"AI Content","Công việc nội dung AI","AiProductJobResource","Governed Product content jobs","Nội dung AI","OPERATIONAL","OCCASIONAL","admin","AI content workflow","Nội dung AI","Công việc nội dung AI","1","YES","Vietnamese domain label"
"AI Content","Công việc AI bài viết","AiContentJobResource","Governed Blog content jobs","Nội dung AI","OPERATIONAL","OCCASIONAL","admin","AI content workflow","Nội dung AI","Công việc AI bài viết","2","YES","Vietnamese domain label"
"AI Content","Nhà cung cấp AI","AiProviderResource","Provider configuration","Nội dung AI","CONFIGURATION","ADMIN_ONLY","admin","AI content workflow","Nội dung AI","Nhà cung cấp AI","3","YES","Needed but lowest priority"
"Hệ thống","Nhập / Xuất dữ liệu","DataTransferPage","Controlled data transfer","Hệ thống","OPERATIONAL","OCCASIONAL","admin","System operations","Hệ thống","Nhập / Xuất dữ liệu","1","YES","Cross-domain utility"
"Hệ thống","Media & CDN","R2SyncManager","Media operations","Hệ thống","OPERATIONAL","OCCASIONAL","public media","System operations","Hệ thống","Media & CDN","2","YES","Cross-domain utility"
"Hệ thống","Mẫu email","MailTemplateResource","Transactional email content","Hệ thống","CONFIGURATION","OCCASIONAL","mail","Email system","Hệ thống","Mẫu email","3","YES","System-owned templates"
"Hệ thống","Nhật ký email","MailLogResource","Email diagnostics","Hệ thống","DIAGNOSTIC","DIAGNOSTIC","admin","Email system","Hệ thống","Nhật ký email","4","YES","Actionable failures may badge"
"Hệ thống","Người dùng","UserResource","Admin identity","Hệ thống","CONFIGURATION","ADMIN_ONLY","admin auth","Access control","Hệ thống","Người dùng","5","YES","Strong permission naturally hides"
"Hệ thống","Vai trò & quyền","RoleResource","RBAC configuration","Hệ thống","CONFIGURATION","ADMIN_ONLY","admin auth","Access control","Hệ thống","Vai trò & quyền","6","YES","Strong permission naturally hides"
"Hệ thống","Cài đặt website","ManageSiteSettings","Cross-site settings","Hệ thống","CONFIGURATION","ADMIN_ONLY","all public surfaces","System configuration","Hệ thống","Cài đặt website","7","YES","Canonical settings surface"
"Vận hành","Trạng thái AI","AIQueueHealth","Queue/worker/scheduler health","Vận hành","DIAGNOSTIC","DIAGNOSTIC","admin","Operations","Vận hành","Trạng thái AI","1","YES","Collapsed diagnostic group"
